"","qser_no","survey_year","ID","k_group","problem","relationship","gender","age","edu","education","work","marstat","children","livstat","livwhere","meet","tele","adl_who_help","iadl_who_help"
"212","B1196",1996,"B1196_92",NA,0,92,2,35,6,6,4,1,2,0,0,0,0,88,88
"213","B1587",1996,"B1587_93",NA,0,93,2,31,16,16,1,1,0,0,0,0,0,88,93
"214","B1608",1996,"B1608_91",NA,0,91,2,30,12,12,1,1,0,0,0,0,0,88,88
"215","B1798",1996,"B1798_92",NA,0,92,2,31,12,12,1,1,0,3,4,3,2,88,2
"216","B1825",1996,"B1825_92",NA,0,92,2,43,12,12,1,1,2,0,0,0,0,88,2
"217","B1963",1996,"B1963_91",NA,0,91,2,20,6,6,4,1,1,0,0,0,0,88,88
"218","B2327",1996,"B2327_91",NA,0,91,1,46,6,6,1,1,3,0,0,0,0,88,88
"219","B2490",1996,"B2490_93",NA,0,93,2,29,9,9,4,1,2,0,0,0,0,88,88
"220","B2634",1996,"B2634_91",NA,0,91,2,45,6,6,1,1,5,0,0,0,0,88,96
"221","B277",1996,"B277_92",NA,0,92,2,36,16,16,1,1,2,0,0,0,0,88,92
"222","B2844",1996,"B2844_95",NA,0,95,2,25,6,6,4,1,0,0,0,0,0,88,88
"223","B3102",1996,"B3102_92",NA,0,92,2,25,12,12,1,1,1,0,0,0,0,88,88
"224","B3337",1996,"B3337_91",NA,0,91,2,23,9,9,4,1,99,0,0,0,0,88,31
"225","B3352",1996,"B3352_91",NA,0,91,2,52,0,0,4,1,4,0,0,0,0,88,88
"226","B3540",1996,"B3540_91",NA,0,91,2,49,12,12,4,1,3,0,0,0,0,88,88
"227","B3861",1996,"B3861_93",NA,0,93,2,31,12,12,1,1,1,0,0,0,0,88,88
"228","B515",1996,"B515_92",NA,0,92,2,39,6,6,4,1,3,0,0,0,0,88,0
"229","B615",1996,"B615_92",NA,0,92,2,40,9,9,1,1,2,0,0,0,0,88,32
"230","B82",1996,"B82_92",NA,0,92,2,28,12,12,1,1,1,0,0,0,0,88,2
"231","B1089",1996,"B1089_92",NA,0,92,2,31,12,12,1,1,2,0,0,0,0,88,88
"232","B111",1996,"B111_92",NA,0,92,2,46,16,16,1,1,2,0,0,0,0,88,88
"233","B1291",1996,"B1291_91",NA,0,91,2,42,12,12,1,5,2,0,0,0,0,88,32
"234","B1461",1996,"B1461_93",NA,0,93,2,34,16,16,1,1,1,0,0,0,0,88,2
"235","B1548",1996,"B1548_93",NA,0,93,2,24,12,12,4,1,1,0,0,0,0,88,88
"236","B1963",1996,"B1963_92",NA,0,92,2,24,9,9,4,1,1,0,0,0,0,88,88
"237","B2340",1996,"B2340_91",NA,0,91,2,37,12,12,1,1,2,0,0,0,0,88,88
"238","B2456",1996,"B2456_91",NA,0,91,2,44,6,6,4,1,2,0,0,0,0,88,88
"239","B2634",1996,"B2634_92",NA,0,92,2,44,6,6,1,1,2,0,0,0,0,88,96
"240","B279",1996,"B279_92",NA,0,92,2,51,12,12,4,1,5,0,0,0,0,88,35
"241","B301",1996,"B301_92",NA,0,92,2,34,12,12,4,1,2,0,0,0,0,88,88
"242","B304",1996,"B304_93",NA,0,93,2,41,9,9,1,1,2,0,0,0,0,88,73
"243","B3126",1996,"B3126_94",NA,0,94,2,30,9,9,1,1,2,0,0,0,0,88,88
"244","B3325",1996,"B3325_92",NA,0,92,2,61,0,0,4,1,4,0,0,0,0,88,46
"245","B3540",1996,"B3540_92",NA,0,92,2,42,6,6,4,1,3,0,0,0,0,88,88
"246","B3683",1996,"B3683_94",NA,0,94,2,35,12,12,1,1,0,0,0,0,0,88,88
"247","B1291",1996,"B1291_92",NA,0,92,2,36,16,16,1,1,2,0,0,0,0,88,32
"248","B1429",1996,"B1429_91",NA,0,91,2,27,9,9,4,1,2,0,0,0,0,88,88
"249","B2330",1996,"B2330_94",NA,0,94,2,30,12,12,1,1,1,0,0,0,0,88,0
"250","B2340",1996,"B2340_92",NA,0,92,2,25,12,12,1,1,2,0,0,0,0,88,88
"251","B2520",1996,"B2520_91",NA,0,91,2,21,9,9,4,1,1,0,0,0,0,88,88
"252","B3586",1996,"B3586_91",NA,0,91,2,52,0,0,4,1,3,0,0,0,0,88,54
"253","B36",1996,"B36_91",NA,0,91,2,27,12,12,4,1,1,0,0,0,0,88,88
"254","B1111",1996,"B1111_93",NA,0,93,2,39,6,6,1,1,3,0,0,0,0,88,88
"255","B2330",1996,"B2330_93",NA,0,93,2,38,12,12,1,1,3,0,0,0,0,88,0
"256","B279",1996,"B279_93",NA,0,93,2,45,12,12,4,1,3,0,0,0,0,88,35
"257","B1111",1996,"B1111_94",NA,0,94,2,35,6,6,1,1,1,0,0,0,0,88,88
"258","B2605",1996,"B2605_92",NA,0,92,2,45,0,0,4,1,4,0,0,0,0,88,88
